company,country,city,email,allEmails,website,phone,quality,source,sourceUrl,serviceFit,complianceStatus,lastCheckedAt
"BANGLADESH FREIGHT FORWARDERS ASSOCIATION -BAFFA-","Bangladesh","","info@baffa-bd.org","info@baffa-bd.org","http://www.baffa-bd.org","+880 2 8836324","100","FIATA members directory","https://fiata.org/directory/bd/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:31.942Z"
"CARGO POINT LIMITED","Bangladesh","","info@cpl-bd.com","info@cpl-bd.com","http://www.cpl-bd.com","+880 1973 015495","100","FIATA members directory","https://fiata.org/directory/bd/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:31.943Z"
"CONCORD EXPRESS (BD) LTD.","Bangladesh","","info@concordexp-bd.com","info@concordexp-bd.com","http://www.concordexp-bd.com","+880 2 9821941","100","FIATA members directory","https://fiata.org/directory/bd/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:31.943Z"
"J&Y INTERNATIONAL LIMITED","Bangladesh","","info@jyinternational.com.bd","info@jyinternational.com.bd","https://www.jyinternational.com.bd","+880 2 9634060","100","FIATA members directory","https://fiata.org/directory/bd/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:31.944Z"
"LEOPARD SHIPPING & LOGISTICS LIMITED","Bangladesh","","info@leopard-bd.com","info@leopard-bd.com","http://www.leopard-bd.com","+880 2 8833448","100","FIATA members directory","https://fiata.org/directory/bd/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:31.945Z"
"EGF LOGISTICS CO., LTD","Cambodia","","info@egflogistics.com","info@egflogistics.com","https://egflogistics.com","+855 23 215 158","100","FIATA members directory","https://fiata.org/directory/kh/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:31.005Z"
"SAFETY GLOBAL LOGISTICS (CAMBODIA) CO.,LTD","Cambodia","","info@safetygloballog.com","info@safetygloballog.com","https://safetygloballog.com/","+855 17 510 887","100","FIATA members directory","https://fiata.org/directory/kh/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:31.006Z"
"24X7 LOGISTICS PRIVATE LIMITED","India","","info@24x7logistics.com","info@24x7logistics.com","http://www.24x7logistics.com","+91 22 2417 2407","100","FIATA members directory","https://fiata.org/directory/in/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:26.185Z"
"AAGAAZ WORLDTRADE PVT LTD","India","","info@aagaaz.co.in","info@aagaaz.co.in","http://www.aagaaz.co.in","+91 99090 33300","100","FIATA members directory","https://fiata.org/directory/in/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:26.186Z"
"ACROSS GLOBE LOGISTICS LLP","India","","info@acrossglobe.co.in","info@acrossglobe.co.in","http://www.acrossglobe.co.in/","+91 22 6238 1100","100","FIATA members directory","https://fiata.org/directory/in/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:26.188Z"
"ACTIVE FREIGHT LOGISTICS (P) LIMITED","India","","info@activefreightlogistics.com","info@activefreightlogistics.com","http://www.activefreightlogistics.com","+91 98450 49313","100","FIATA members directory","https://fiata.org/directory/in/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:26.188Z"
"AEROTRANS GLOBAL FORWARDING INDIA PRIVATE LIMITED","India","","info@aerotransglobal.com","info@aerotransglobal.com","http://www.aerotransglobal.com","+91 44 4856 6020","100","FIATA members directory","https://fiata.org/directory/in/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:26.188Z"
"AGS LOGISTICS PVT LTD","India","","info@agslogistics.in","info@agslogistics.in","https://agslogistics.in","+91 98102 91575","100","FIATA members directory","https://fiata.org/directory/in/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:26.189Z"
"AIROCEANS TRANSCONTINENTAL PRIVATE LIMITED","India","","info@connectexim.com","info@connectexim.com","https://www.connectexim.com","+91 77410 04463","100","FIATA members directory","https://fiata.org/directory/in/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:26.189Z"
"AIROGO LOGISTICS PRIVATE LIMITED","India","","info@airogo.net","info@airogo.net","http://www.airogo.com","+91 44 2536 7731","100","FIATA members directory","https://fiata.org/directory/in/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:26.189Z"
"AMI GLOBAL LOGISTICS PVT. LTD.","India","","info@amilogistics.com","info@amilogistics.com","http://www.amiindia.com","+91 22 6617 4500","100","FIATA members directory","https://fiata.org/directory/in/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:26.191Z"
"AMRIT SEAIR EXPRESS PVT. LTD.","India","","info@amritind.com","info@amritind.com","http://www.amritind.com","+91 116225054","100","FIATA members directory","https://fiata.org/directory/in/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:26.191Z"
"AN FREIGHT FORWARDERS","India","","info@anfreight.com","info@anfreight.com","https://www.anfreight.com","+91 98156 24391","100","FIATA members directory","https://fiata.org/directory/in/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:26.191Z"
"ECHIBI LOGISTIK UTAMA","Indonesia","","marketing@echibilogistik.com","marketing@echibilogistik.com","https://www.echibilogistik.com","+62 811 9982 428","100","FIATA members directory","https://fiata.org/directory/id/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:28.144Z"
"P.T. PRATHAMA LINE LOGISTICS","Indonesia","","info@prathamaline.com","info@prathamaline.com","http://www.prathamaline.com","+62 361 8476456","100","FIATA members directory","https://fiata.org/directory/id/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:28.145Z"
"PT SURYAMAS LOGISTIK","Indonesia","","info@sml.id","info@sml.id","http://www.sml-logistics.com","+62 811 1888 841","100","FIATA members directory","https://fiata.org/directory/id/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:28.147Z"
"PT. CHAYA INTERFREIGHT CARGO","Indonesia","","info@interfreight-cargo.com","info@interfreight-cargo.com","https://www.interfreight-cargo.com","+62 622142882727","100","FIATA members directory","https://fiata.org/directory/id/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:28.148Z"
"PT. INO BUDI TRANS","Indonesia","","info@inobuditrans.co.id","info@inobuditrans.co.id","http://www.inobuditrans.co.id","+62 812 1286 4395","100","FIATA members directory","https://fiata.org/directory/id/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:28.149Z"
"PT. KIRIM KIRIM INTERNASIONAL","Indonesia","","info@kirimkirim.id","info@kirimkirim.id","https://kirimkirim.id/","+62 21 29621656","100","FIATA members directory","https://fiata.org/directory/id/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:28.149Z"
"PT. SADEWA EKSPRES LOGISTIK","Indonesia","","cs@sadewa-logistics.com","cs@sadewa-logistics.com","https://sadewa-logistics.com/","+62 21 53191200","100","FIATA members directory","https://fiata.org/directory/id/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:28.150Z"
"PT. SEMESTA SAHABAT MANDIRI","Indonesia","","marketing@ssmcorp.co.id","marketing@ssmcorp.co.id","http://ssmcorp.co.id","+62 811 1602 306","100","FIATA members directory","https://fiata.org/directory/id/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:28.150Z"
"PT. SZETO GLOBAL INDONESIA","Indonesia","","info@szetoglobalindo.com","info@szetoglobalindo.com","https://www.szetoglobalindo.com","+62 21 26081200","100","FIATA members directory","https://fiata.org/directory/id/","Freight forwarding / logistics agency","ready_for_manual_review","2026-06-09T06:56:28.151Z"
