company_name,region,founded_year,website,email,source,notes
HONGKONG ASSOCIATION OF FREIGHT FORWARDING AND LOGISTICS LTD. -HAFFA-,香港,,https://www.haffa.com.hk,enquiry@haffa.com.hk,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),robots.txt disallows
AE CARGO SERVICES LTD.,香港,,http://www.aecargo.com,aecargo@aecargo.com,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),founded_year not found
AIR SEA WORLDWIDE LOGISTICS LTD.,香港,,http://www.airseaworldwide.com,info@airsea.com.hk,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),robots.txt disallows
"AIR-CITY CO., LTD.",香港,,https://www.aircity.com,eric@aircity.com,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),robots.txt disallows
AIRTACK FREIGHT LIMITED,香港,,https://www.airtack.com.hk,liz@airtack.com.hk,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),founded_year not found
AIRWAY EXPRESS (HONG KONG) LIMITED,香港,,http://www.airway.com.hk,info@airway.com.hk,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),founded_year not found
AME TRANSPORT (H.K.) LTD,香港,,https://www.ametrans.com.hk,williamlam@ametrans.com.hk,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),robots.txt disallows
ANDERSON GLOBAL LOGISTICS LIMITED,香港,,http://www.anderson-agl.com,acf_account@acf.hk,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),founded_year not found
AO FREIGHT (HK) LIMITED,香港,,http://www.aofreight.hk,hkg@aofreight.com.hk,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),founded_year not found
ASIA SHIPPING INT'L TRANSPORT (HK) LTD,香港,,http://www.asiashippinghk.com,ap.hkg@hk-asgroup.com,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),robots.txt disallows
ATLANTIC FORWARDING (CHINA) LTD.,香港,,http://www.atlanticforwarding.com,accounting@hkg.atlanticforwarding.com,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),robots.txt disallows
AVION SHIPPING CO LTD,香港,,http://www.avionhkg.com.hk,info@avionhkg.com.hk,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),founded_year not found
"B & J EXPRESS INTERNATIONAL CO., LIMITED",香港,,http://www.bj-express.com,info@bj-express.com,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),robots.txt disallows
BEL INTERNATIONAL LOGISTICS LIMITED,香港,,http://www.bel-intl.com,info@bel.konoike.net,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),robots.txt disallows
CARGO SERVICES FAR EAST LIMITED,香港,,http://www.cargofe.com,kuenchan@cargofe.com,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),robots.txt disallows
CARGO-PARTNER LOGISTICS LIMITED,香港,,http://www.cargo-partner.com,rainbow.li@cargo-partner.com,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),founded_year not found
DHL GLOBAL FORWARDING (HONG KONG) LIMITED,香港,,http://www.dhl.com,rain.he@dhl.com,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),founded_year not found
DT LOGISTICS (HONG KONG) LIMITED,香港,,http://www.dt-asia.net,jonathan.lopes.hk@dt-asia.net,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),robots.txt disallows
"EASTERN WORLDWIDE CO., LTD.",香港,,http://www.eww.com.hk,ship@eww.com.hk,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),founded_year not found
ENSIGN FREIGHT LIMITED,香港,,https://www.ensignfreight.com,ensign@ensignfreight.com,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),founded_year not found
FAIRATE EXPRESS LTD.,香港,,http://www.fairate.com,admin@fairate.com,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),founded_year not found
FAST-LINK EXPRESS LIMITED,香港,,http://www.fastlink-hk.com,info@fastlink-hk.com,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),founded_year not found
FLYNT WORLDWIDE LIMITED,香港,,https://www.flyntworldwide.com,joseph.yip@flyntworldwide.com,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),robots.txt disallows
G. E. LOGISTICS LTD.,香港,,https://www.gelogistics.com.hk,marie@gelogistics.com.hk,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),robots.txt disallows
GATEWAY GLOBAL LOGISTICS (HK) LIMITED,香港,,http://www.gatewaylogistics.com,ella.auyeung@gatewaylogistics.com,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),founded_year not found
GATEWAY GLOBAL LOGISTICS LIMITED,香港,,http://www.gatewaylogistics.com,general@gatewaylogistics.com,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),founded_year not found
GRAND POWER EXPRESS INTERNATIONAL LIMITED,香港,,http://www.gpexpress.net,jackie.chan@grandpowerexpress.com,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),founded_year not found
GULF AGENCY COMPANY (HONG KONG) LTD.,香港,,http://www.gac.com,eve.shiu@gac.com,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),robots.txt disallows
HELKA GLOBAL LOGISTICS LIMITED,香港,,http://www.helka.com.hk,maggie.tsang@helka.com.hk,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),founded_year not found
INTERTRANS INT'L TRANSPORT (HK) LTD.,香港,,http://www.intertrans.com.hk,caleb_li@hkg.intertrans-transport.com,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),robots.txt disallows
JAS FORWARDING (HONG KONG) LTD.,香港,,https://www.jas.com,julianna.lee@jas.com,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),founded_year not found
KEEN SHING AIRCARGO SERVICES LTD.,香港,,http://www.ksglobal.com.cn,general@ksglobal.com.hk,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),founded_year not found
KUEHNE & NAGEL LIMITED,香港,,http://www.kuehne-nagel.com,kenny.leung@kuehne-nagel.com,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),founded_year not found
LINK FORCE CARGO LTD.,香港,,http://www.linkforce.com.hk,lfc@linkforce.com.hk,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),founded_year not found
LOGIMARK INTERNATIONAL LIMITED,香港,,https://logimark-group.com,yan.leung@hq.logimark-group.com,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),founded_year not found
LOGWIN AIR & OCEAN HONG KONG LTD.,香港,,http://www.logwin-logistics.com,airocean.hk@logwin-logistics.com,FIATA/HAFFA member directory (https://fiata.org/directory/hk/),founded_year not found
